,L_ANT,R_ANT,L_AG,R_AG,SL_ACT,HG_L,HG_R,GGP_L,GGP_R,IL_L,IL_R,SL,MH_L,MH_R,GGA_L,GGA_R,GGM_L,GGM_R,TRANS_L,TRANS_R,STY_L,STY_R,VERT_L,VERT_R,BI_CLOSE
0,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.0,0.0,0.1,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
1,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
2,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.0,0.0,0.1,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
3,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
4,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.1,0.1,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
5,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.1,0.1,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
6,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.15,0.1,0.25,0.05,0.1,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
7,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.15,0.1,0.25,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.25,0.25,0.0015
8,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.25,0.25,0.1,0.125,0.25,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
9,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.25,0.25,0.1,0.25,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
10,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.375,0.25,0.1,0.125,0.25,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
11,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.375,0.25,0.1,0.25,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
12,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
13,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
14,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.15,0.1,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
15,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.15,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0015
16,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.25,0.25,0.25,0.05,0.1,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
17,1.0,1,1.0,1,1,0.0,0.0,0.1,0.1,0.25,0.25,0.25,0.1,0.1,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
18,1.5,1,0.5,1,1,0.0,0.0,0.05,0.1,0.375,0.25,0.25,0.05,0.1,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.05,0.1,0.0015
19,1.5,1,1.0,1,1,0.0,0.0,0.1,0.1,0.375,0.25,0.25,0.1,0.1,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.1,0.0015
20,1.0,1,0.5,1,1,0.0,0.0,0.05,0.1,0.1,0.1,0.25,0.05,0.1,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.25,0.0015
