sim,front,mid,back,lat_left,lat_right,coronal,condition,GGP,GGM,GGA,STY,MH,HG,TRANS,VERT,SL,IL,JAW.OPEN,JAW.CLOSE
20172,0,0,0,1,1,0,5mm,0.1,0,0,0,0.25,0,0,0,0.1,0,0,0.0015
26512,0,0,0,2,2,0,5mm,0.1,0.1,0,0,0.1,0,0,0.25,0.25,0.1,0,0.0015
26735,0,0,0,1,1,0,5mm,0.1,0.1,0,0,0.25,0,0,0,0.1,0.25,0,0.0015
32812,0,0,0,1,1,0,5mm,0.1,0.25,0,0,0,0,0,0,0.25,0.1,0,0.0015
33065,0,0,0,2,2,0,5mm,0.1,0.25,0,0,0.1,0,0,0.1,0.25,0.25,0,0.0015
33073,0,0,0,2,2,0,5mm,0.1,0.25,0,0,0.1,0,0,0.25,0.25,0.1,0,0.0015
34033,0,0,0,1,2,0,5mm,0.1,0.25,0,0.1,0.25,0,0,0.1,0.1,0.1,0,0.0015
35499,0,0,0,1,2,0,5mm,0.1,0.25,0.1,0,0.25,0,0,0.25,0.1,0,0,0.0015
37689,0,0,0,1,1,0,5mm,0.1,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0,0.0015
39372,0,0,0,2,2,0,5mm,0.25,0,0,0,0,0,0,0,0.25,0,0,0.0015
39381,0,0,0,1,1,0,5mm,0.25,0,0,0,0,0,0,0.1,0.25,0,0,0.0015
39614,0,0,0,2,2,0,5mm,0.25,0,0,0,0.1,0,0,0,0.1,0.25,0,0.0015
39660,3,6,0,1,1,7,5mm,0.25,0,0,0,0.1,0,0.1,0.25,0.25,0,0,0.0015
39858,0,0,0,2,2,0,5mm,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0.0015
39866,0,0,0,2,1,0,5mm,0.25,0,0,0,0.25,0,0,0.1,0.1,0.25,0,0.0015
40359,0,0,0,2,1,0,5mm,0.25,0,0,0.1,0.1,0,0,0.25,0.1,0,0,0.0015
41575,0,0,0,1,1,0,5mm,0.25,0,0.1,0,0,0,0,0.25,0.1,0.1,0,0.0015
42046,0,0,0,5,3,0,5mm,0.25,0,0.1,0,0.25,0,0,0,0.25,0.1,0,0.0015
42054,0,0,0,2,1,0,5mm,0.25,0,0.1,0,0.25,0,0,0.1,0.25,0,0,0.0015
42533,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.1,0,0,0,0.25,0.25,0,0.0015
42541,0,0,0,2,2,0,5mm,0.25,0,0.1,0.1,0.1,0,0,0.1,0.25,0.1,0,0.0015
42549,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.1,0,0,0.25,0.25,0,0,0.0015
42774,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0,0.25,0,0,0.0015
42781,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0.1,0.1,0.1,0,0.0015
42787,0,0,0,1,1,0,5mm,0.25,0,0.1,0.1,0.25,0,0,0.25,0,0.1,0,0.0015
44002,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.1,0,0,0.25,0,0.1,0,0.0015
44247,0,0,0,1,1,0,5mm,0.25,0,0.25,0,0.25,0,0,0.25,0.1,0,0,0.0015
45934,0,0,0,1,1,0,5mm,0.25,0.1,0,0,0,0,0,0,0.25,0.1,0,0.0015
45942,0,0,0,2,2,0,5mm,0.25,0.1,0,0,0,0,0,0.1,0.25,0,0,0.0015
46187,0,0,0,2,2,0,5mm,0.25,0.1,0,0,0.1,0,0,0.1,0.25,0.25,0,0.0015
